"","week","District","n_protests","n_protesters","is_protest","DerryHome","DerryWin","pcg_catholics","pcg_car","pcg_Unem","Distance_km"
"1",1979-12-30,"Antrim",0,0,0,0,0,33,0.809449229966066,0.140604890604891,66.92
"2",1979-12-30,"Ards",0,0,0,0,0,13,0.819106688679666,0.110149148006769,113.63
"3",1979-12-30,"Armagh",0,0,0,0,0,46.5,0.876534481650492,0.167122135799874,78.9
"4",1979-12-30,"Ballymena",0,0,0,0,0,19,0.841101906377882,0.121303430760622,62.1
"5",1979-12-30,"Ballymoney",0,0,0,0,0,29,0.854752950330696,0.176414189837009,51.35
"6",1979-12-30,"Banbridge",0,0,0,0,0,28.5,0.838401310997815,0.140473963205488,93.51
"7",1979-12-30,"Belfast",1,2,1,0,0,38,0.610568847747378,0.181856603773585,88.87
"8",1979-12-30,"Carrickfergus",0,0,0,0,0,8,0.78115671641791,0.145637212245867,92.01
"9",1979-12-30,"Castlereagh",0,0,0,0,0,8,0.819398117263361,0.082949153683077,97.84
"10",1979-12-30,"Coleraine",0,0,0,0,0,24,0.80096123037488,0.167758638909437,36.19
"11",1979-12-30,"Cookstown",0,0,0,0,0,52.5,0.875269687162891,0.261658286503007,46.72
"12",1979-12-30,"Craigavon",0,0,0,0,0,42,0.777985858971909,0.509049631077757,73.86
"13",1979-12-30,"Derry",0,0,0,0,0,68.5,0.706494896279223,0.190879850903298,0
"14",1979-12-30,"Down",0,0,0,0,0,59.5,0.823690554459785,0.138850764022326,112.37
"15",1979-12-30,"Dungannon",0,0,0,0,0,53,0.865316246382803,0.235647655418519,57.26
"16",1979-12-30,"Fermanagh",0,0,0,0,0,54.5,0.859516023544801,0.193205619412516,71.67
"17",1979-12-30,"Larne",0,0,0,0,0,24.5,0.763540669856459,0.147421931735657,83.54
"18",1979-12-30,"Limavady",0,0,0,0,0,54.5,0.803325223033252,0.231262327416174,17.9
"19",1979-12-30,"Lisburn",0,0,0,0,0,22.5,0.830906808911202,0.115508711550871,87.68
"20",1979-12-30,"Magherafelt",0,0,0,0,0,56.5,0.849748303786387,0.223038594713284,37.43
"21",1979-12-30,"Moyle",0,0,0,0,0,51,0.8159046692607,0.237920264559985,65.75
"22",1979-12-30,"Newry & Mourne",0,0,0,0,0,74,0.806266757794017,0.268252727205034,105.99
"23",1979-12-30,"Newtownabbey",0,0,0,0,0,13.5,0.788887393148011,0.113241141907532,83.03
"24",1979-12-30,"North Down",0,0,0,0,0,9,0.84575329784772,0.0771189396581793,101.48
"25",1979-12-30,"Omagh",0,0,0,0,0,65,0.863487112132655,0.196044546850998,39.96
"26",1979-12-30,"Other",0,0,0,0,0,38.8,0.81,0.19,NA
"27",1979-12-30,"Strabane",0,0,0,0,0,61,0.801040876070693,0.278961078761876,24.91
"28",1980-01-06,"Antrim",0,0,0,0,0,33,0.809449229966066,0.140604890604891,66.92
"29",1980-01-06,"Ards",0,0,0,0,0,13,0.819106688679666,0.110149148006769,113.63
"30",1980-01-06,"Armagh",0,0,0,0,0,46.5,0.876534481650492,0.167122135799874,78.9
"31",1980-01-06,"Ballymena",0,0,0,0,0,19,0.841101906377882,0.121303430760622,62.1
